Feature
Credit_Mix_Standard
Credit_Mix_Good
Payment_of_Min_Amount
Credit_Mix_Bad
Credit_Mix_Unknown
Outstanding_Debt
Num_Credit_Card
Interest_Rate
Occupation_Developer
Occupation_Writer
Occupation_Manager
Occupation_Entrepreneur
Occupation_Media_Manager
Occupation_Musician
Occupation_Lawyer
Occupation_Scientist
Num_Credit_Inquiries
Occupation_Teacher
Occupation_Architect
Occupation_Mechanic
Num_of_Loan
Occupation_Engineer
Occupation_Journalist
Delay_from_due_date
Occupation_Doctor
Num_Bank_Accounts
Payment_Behaviour_low_spent_small_value_payments
Month_Num
Annual_Income
Changed_Credit_Limit
At_Risk_Flag
Credit_History_Age
Auto Loan
Total_EMI_per_month
Credit-Builder Loan
Monthly_Salary_Report_Count
Age
Personal Loan
Payday Loan
